Datetime,MWh_N,MWh_NE,MWh_S,MWh_SE
2235,356769446.528,563940239.415,520818190.871,347410665.159
2236,358188872.906,566123946.452,522778249.082,347410665.159
2237,359608299.285,568307653.489,524738307.293,347410665.159
2238,361027725.663,570491360.526,526698365.504,347410665.159
2239,362447152.041,572675067.564,528658423.715,347410665.159
2240,363866578.42,574858774.601,530618481.927,347410665.159
2241,365286004.798,577042481.638,532578540.138,347410665.159
2242,366705431.177,579226188.675,534538598.349,347410665.159
2243,368124857.555,581409895.712,536498656.56,347410665.159
2244,369544283.934,583593602.749,538458714.771,347410665.159
2245,370963710.312,585777309.786,540418772.983,347410665.159
2246,372383136.691,587961016.823,542378831.194,347410665.159
2247,373802563.069,590144723.86,544338889.405,347410665.159
2248,375221989.448,592328430.897,546298947.616,347410665.159
2249,376641415.826,594512137.934,548259005.827,347410665.159
2250,378060842.205,596695844.971,550219064.039,347410665.159
2251,379480268.583,598879552.008,552179122.25,347410665.159
2252,380899694.961,601063259.045,554139180.461,347410665.159
2253,382319121.34,603246966.083,556099238.672,347410665.159
2254,383738547.718,605430673.12,558059296.883,347410665.159
2255,385157974.097,607614380.157,560019355.095,347410665.159
2256,386577400.475,609798087.194,561979413.306,347410665.159
2257,387996826.854,611981794.231,563939471.517,347410665.159
2258,389416253.232,614165501.268,565899529.728,347410665.159
2259,390835679.611,616349208.305,567859587.939,347410665.159
2260,392255105.989,618532915.342,569819646.151,347410665.159
2261,393674532.368,620716622.379,571779704.362,347410665.159
2262,395093958.746,622900329.416,573739762.573,347410665.159
2263,396513385.125,625084036.453,575699820.784,347410665.159
2264,397932811.503,627267743.49,577659878.995,347410665.159
2265,399352237.881,629451450.527,579619937.207,347410665.159
2266,400771664.26,631635157.564,581579995.418,347410665.159
2267,402191090.638,633818864.602,583540053.629,347410665.159
2268,403610517.017,636002571.639,585500111.84,347410665.159
2269,405029943.395,638186278.676,587460170.051,347410665.159
2270,406449369.774,640369985.713,589420228.263,347410665.159
2271,407868796.152,642553692.75,591380286.474,347410665.159
2272,409288222.531,644737399.787,593340344.685,347410665.159
2273,410707648.909,646921106.824,595300402.896,347410665.159
2274,412127075.288,649104813.861,597260461.107,347410665.159
2275,413546501.666,651288520.898,599220519.319,347410665.159
2276,414965928.045,653472227.935,601180577.53,347410665.159
2277,416385354.423,655655934.972,603140635.741,347410665.159
2278,417804780.801,657839642.009,605100693.952,347410665.159
2279,419224207.18,660023349.046,607060752.163,347410665.159
2280,420643633.558,662207056.083,609020810.375,347410665.159
2281,422063059.937,664390763.121,610980868.586,347410665.159
2282,423482486.315,666574470.158,612940926.797,347410665.159
2283,424901912.694,668758177.195,614900985.008,347410665.159
2284,426321339.072,670941884.232,616861043.219,347410665.159
2285,427740765.451,673125591.269,618821101.431,347410665.159
2286,429160191.829,675309298.306,620781159.642,347410665.159
2287,430579618.208,677493005.343,622741217.853,347410665.159
2288,431999044.586,679676712.38,624701276.064,347410665.159
2289,433418470.965,681860419.417,626661334.275,347410665.159
2290,434837897.343,684044126.454,628621392.487,347410665.159
2291,436257323.721,686227833.491,630581450.698,347410665.159
2292,437676750.1,688411540.528,632541508.909,347410665.159
2293,439096176.478,690595247.565,634501567.12,347410665.159
2294,440515602.857,692778954.602,636461625.331,347410665.159
2295,441935029.235,694962661.64,638421683.543,347410665.159
2296,443354455.614,697146368.677,640381741.754,347410665.159
2297,444773881.992,699330075.714,642341799.965,347410665.159
2298,446193308.371,701513782.751,644301858.176,347410665.159
2299,447612734.749,703697489.788,646261916.387,347410665.159
2300,449032161.128,705881196.825,648221974.599,347410665.159
2301,450451587.506,708064903.862,650182032.81,347410665.159
2302,451871013.884,710248610.899,652142091.021,347410665.159
2303,453290440.263,712432317.936,654102149.232,347410665.159
2304,454709866.641,714616024.973,656062207.443,347410665.159
2305,456129293.02,716799732.01,658022265.655,347410665.159
2306,457548719.398,718983439.047,659982323.866,347410665.159
2307,458968145.777,721167146.084,661942382.077,347410665.159
2308,460387572.155,723350853.121,663902440.288,347410665.159
2309,461806998.534,725534560.159,665862498.499,347410665.159
2310,463226424.912,727718267.196,667822556.711,347410665.159
2311,464645851.291,729901974.233,669782614.922,347410665.159
2312,466065277.669,732085681.27,671742673.133,347410665.159
2313,467484704.048,734269388.307,673702731.344,347410665.159
2314,468904130.426,736453095.344,675662789.555,347410665.159
2315,470323556.804,738636802.381,677622847.767,347410665.159
2316,471742983.183,740820509.418,679582905.978,347410665.159
2317,473162409.561,743004216.455,681542964.189,347410665.159
2318,474581835.94,745187923.492,683503022.4,347410665.159
2319,476001262.318,747371630.529,685463080.611,347410665.159
2320,477420688.697,749555337.566,687423138.823,347410665.159
2321,478840115.075,751739044.603,689383197.034,347410665.159
2322,480259541.454,753922751.64,691343255.245,347410665.159
2323,481678967.832,756106458.678,693303313.456,347410665.159
2324,483098394.211,758290165.715,695263371.667,347410665.159
2325,484517820.589,760473872.752,697223429.879,347410665.159
2326,485937246.968,762657579.789,699183488.09,347410665.159
2327,487356673.346,764841286.826,701143546.301,347410665.159
2328,488776099.724,767024993.863,703103604.512,347410665.159
2329,490195526.103,769208700.9,705063662.723,347410665.159
2330,491614952.481,771392407.937,707023720.935,347410665.159
2331,493034378.86,773576114.974,708983779.146,347410665.159
2332,494453805.238,775759822.011,710943837.357,347410665.159
2333,495873231.617,777943529.048,712903895.568,347410665.159
2334,497292657.995,780127236.085,714863953.779,347410665.159
2335,498712084.374,782310943.122,716824011.991,347410665.159
2336,500131510.752,784494650.159,718784070.202,347410665.159
2337,501550937.131,786678357.197,720744128.413,347410665.159
2338,502970363.509,788862064.234,722704186.624,347410665.159
2339,504389789.888,791045771.271,724664244.835,347410665.159
2340,505809216.266,793229478.308,726624303.047,347410665.159
2341,507228642.644,795413185.345,728584361.258,347410665.159
2342,508648069.023,797596892.382,730544419.469,347410665.159
2343,510067495.401,799780599.419,732504477.68,347410665.159
2344,511486921.78,801964306.456,734464535.891,347410665.159
2345,512906348.158,804148013.493,736424594.103,347410665.159
2346,514325774.537,806331720.53,738384652.314,347410665.159
2347,515745200.915,808515427.567,740344710.525,347410665.159
2348,517164627.294,810699134.604,742304768.736,347410665.159
